et celui la ? 
:
# PHASE 1 : Algorithmes et Structures de Données (Weeks 19-34, 1120h, 16000 XP)

---

## Vue d'ensemble Phase 1

| Module | Semaines | Heures | XP | Contenu Principal |
|--------|----------|--------|-----|-------------------|
| 1.1 | 19-20 | 140h | 2000 | Arrays, Sorting & Searching |
| 1.2 | 21-22 | 140h | 2000 | Hash Tables & Strings |
| 1.3 | 23-24 | 140h | 2000 | Trees & Advanced Tree Structures |
| 1.4 | 25-26 | 140h | 2000 | Graphs |
| 1.5 | 27-28 | 140h | 2000 | Dynamic Programming |
| 1.6 | 29-30 | 140h | 2000 | Number Theory & Mathematics |
| 1.7 | 31-32 | 140h | 2000 | Advanced Algorithms & Techniques |
| 1.8 | 33-34 | 140h | 2000 | Testing, Quality & Competition Prep |
| **TOTAL** | **16 sem** | **1120h** | **16000** | **Algorithmes & DS Complets** |

---

## Module 1.1 : Arrays, Sorting & Searching (Weeks 19-20, 140h, 2000 XP)

### Sous-module 1.1.1 : Révision Architecture Mémoire
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Modèle mémoire | Vue abstraite comme tableau d'octets |
| b | Adresses | Numérotation, taille (32-bit vs 64-bit) |
| c | Segments | Text, Data, BSS, Heap, Stack |
| d | Layout processus | Organisation mémoire d'un programme C |
| e | Endianness | Little-endian vs Big-endian |
| f | Alignement | Contraintes d'alignement par type |
| g | Cache hierarchy | L1, L2, L3, cache lines |
| h | Locality | Spatial et temporal locality |

### Sous-module 1.1.2 : Pointeurs et Arrays Avancés
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Arithmétique pointeurs | ptr++, ptr+n, ptr1-ptr2 |
| b | Pointeurs et tableaux | arr[i] ≡ *(arr+i) |
| c | Pointeurs de pointeurs | int **ptr, matrices dynamiques |
| d | Pointeurs vers fonctions | Callbacks, dispatch tables |
| e | const correctness | const int*, int* const |
| f | restrict keyword | Optimisation aliasing |
| g | Tableaux multidimensionnels | Row-major, column-major |
| h | VLA (C99) | Variable Length Arrays |

### Sous-module 1.1.3 : Allocation Dynamique Avancée
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | malloc/calloc/realloc/free | Rappel et best practices |
| b | Memory pools | Pré-allocation pour performance |
| c | Arena allocators | Allocation linéaire rapide |
| d | Fragmentation | Interne vs externe |
| e | Custom allocators | Interface et implémentation |
| f | Memory alignment | aligned_alloc, posix_memalign |
| g | Valgrind mastery | memcheck, massif, cachegrind |
| h | AddressSanitizer | -fsanitize=address avancé |

### Mini-projet 1.1.A : Arena Allocator (8h)
| # | Feature | Contenu |
|---|---------|---------|
| a | Arena structure | Buffer, offset, capacity |
| b | arena_alloc | Allocation O(1) |
| c | arena_reset | Libération en bloc |
| d | arena_destroy | Nettoyage final |
| e | Alignment | Respecter alignement types |
| f | Benchmark | vs malloc standard |

### Sous-module 1.1.4 : Complexité Algorithmique - Fondations
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Motivation | Pourquoi analyser complexité |
| b | Croissance asymptotique | Comportement quand n → ∞ |
| c | Big-O définition | f(n) = O(g(n)), borne supérieure |
| d | Big-Ω définition | Borne inférieure |
| e | Big-Θ définition | Borne serrée |
| f | Little-o, little-ω | Bornes strictes |
| g | Définitions formelles | ∃c, n₀ tels que... |
| h | Preuves | Trouver c et n₀ |

### Sous-module 1.1.5 : Règles et Classes de Complexité
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Règle de la somme | O(f) + O(g) = O(max(f,g)) |
| b | Règle du produit | O(f) × O(g) = O(f×g) |
| c | Constantes | O(cf) = O(f) |
| d | Termes dominants | O(n² + n) = O(n²) |
| e | O(1) | Constant |
| f | O(log n) | Logarithmique |
| g | O(n) | Linéaire |
| h | O(n log n) | Linéarithmique |
| i | O(n²) | Quadratique |
| j | O(n³) | Cubique |
| k | O(2ⁿ) | Exponentiel |
| l | O(n!) | Factoriel |
| m | Comparaison graphique | Visualiser croissances |
| n | Temps réels | Pour n = 10⁶ |

### Sous-module 1.1.6 : Analyse de Boucles
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Boucle simple | for(i=0; i<n; i++) → O(n) |
| b | Boucles imbriquées indépendantes | O(n×m) |
| c | Boucles imbriquées dépendantes | for(j=0; j<i; j++) → O(n²/2) = O(n²) |
| d | Boucle logarithmique | i *= 2 → O(log n) |
| e | Boucle racine | i += √n → O(√n) |
| f | Boucles consécutives | O(n) + O(n) = O(n) |
| g | Boucles avec break | Analyse cas moyen |
| h | Boucles avec conditions | Analyse par cas |
| i | 15 exercices variés | Déterminer complexité |

### Sous-module 1.1.7 : Analyse de Récurrence
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Relations de récurrence | T(n) = ... |
| b | Méthode de substitution | Deviner et prouver |
| c | Méthode de l'arbre | Dessiner arbre de récursion |
| d | Somme géométrique | Application |
| e | Master Theorem | T(n) = aT(n/b) + f(n) |
| f | Master Cas 1 | f(n) = O(n^(log_b(a)-ε)) |
| g | Master Cas 2 | f(n) = Θ(n^(log_b(a)) × log^k n) |
| h | Master Cas 3 | f(n) = Ω(n^(log_b(a)+ε)) |
| i | Preuves Master | Arbre de récursion |
| j | Cas non-couverts | Logarithmes, etc. |
| k | Akra-Bazzi | Généralisation |
| l | 10 exercices | Appliquer Master Theorem |

### Sous-module 1.1.8 : Analyse Amortie
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Concept | Coût moyen sur séquence d'opérations |
| b | Méthode agrégat | Total / n opérations |
| c | Méthode comptable | Crédits et débits |
| d | Méthode potentiel | Fonction potentiel Φ |
| e | Définition potentiel | Φ(Di) - Φ(Di-1) |
| f | Coût amorti | ci + Φ(Di) - Φ(Di-1) |
| g | Exemple Dynamic Array | push O(1) amorti |
| h | Exemple Stack avec Multipop | O(1) amorti |
| i | Exemple Compteur binaire | Increment O(1) amorti |
| j | Applications | Splay trees, Union-Find |

### Sous-module 1.1.9 : Vector - Conception et Implémentation
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Structure | data, size, capacity |
| b | Invariants | size ≤ capacity, data alloué si capacity > 0 |
| c | Constructeur | Allocation initiale |
| d | Destructeur | Libération complète |
| e | push_back | Ajouter fin, resize si nécessaire |
| f | pop_back | Retirer fin |
| g | get/set | Accès par index O(1) |
| h | insert | À position, décalage O(n) |
| i | remove | À position, décalage O(n) |
| j | Resize strategy | Doubler capacité |
| k | Preuve amortie | push_back O(1) amorti |
| l | Shrink strategy | Quand capacity > 4×size |
| m | reserve | Pré-allouer capacité |
| n | clear | Vider sans désallouer |

### Sous-module 1.1.10 : Vector - Features Avancées
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Généricité | void* avec taille élément |
| b | Comparateurs | Fonction de comparaison |
| c | Deep copy | Copie avec clone function |
| d | Swap | Échanger deux vectors |
| e | Reverse | Inverser in-place |
| f | Iterator pattern | begin, end, next |
| g | for_each | Appliquer fonction à tous |
| h | find | Recherche linéaire |
| i | Binary search | Si trié |
| j | Sort wrapper | Utiliser quicksort |
| k | Stable sort | Merge sort |

### Tests Vector + Valgrind (4h)
| # | Test | Contenu |
|---|------|---------|
| a | Tests unitaires | Chaque opération |
| b | Tests edge cases | Vide, un élément, plein |
| c | Tests resize | Trigger grow/shrink multiple fois |
| d | Tests stress | 10 millions d'éléments |
| e | Valgrind memcheck | Zero leaks, zero errors |
| f | Performance | Benchmark vs tableau statique |

### Sous-module 1.1.11 : Two Pointers Technique
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Concept | Deux pointeurs qui se déplacent |
| b | Opposés | Un au début, un à la fin |
| c | Same direction | Les deux avancent |
| d | Fast/Slow | Vitesses différentes |
| e | Two Sum (sorted) | Somme cible avec deux pointeurs |
| f | 3Sum | Extension à trois éléments |
| g | Container with most water | Max area |
| h | Trapping rain water | Eau piégée |
| i | Remove duplicates | In-place |
| j | Palindrome check | Deux pointeurs opposés |
| k | Merge sorted arrays | Deux pointeurs |
| l | Partition | Quick sort partition |
| m | Dutch National Flag | 3-way partition |
